date,reference_entity,ticker,currency,seniority,tenor_years,cds_spread_bps,cds_5y_spread_bps,curve_k,hazard_rate_approx,pd_to_tenor_approx
2025-12-31,Alpha Bank Corp,ALPHA,USD,Senior Unsecured,1,18.4,48.4,0.397,0.0030633538789335583,0.0030586665979281946
2025-12-31,Alpha Bank Corp,ALPHA,USD,Senior Unsecured,2,30.7,48.4,0.397,0.005123362884898131,0.010194406926727018
2025-12-31,Alpha Bank Corp,ALPHA,USD,Senior Unsecured,3,39.1,48.4,0.397,0.006508654063249518,0.019336565312008336
2025-12-31,Alpha Bank Corp,ALPHA,USD,Senior Unsecured,4,44.6,48.4,0.397,0.007440218752171644,0.029322380924092895
2025-12-31,Alpha Bank Corp,ALPHA,USD,Senior Unsecured,5,48.4,48.4,0.397,0.008066666666666666,0.03953077062280008
2025-12-31,Beta Energy Inc,BETA,USD,Senior Unsecured,1,16.5,43.9,0.388,0.0027471244498322674,0.00274335455637309
2025-12-31,Beta Energy Inc,BETA,USD,Senior Unsecured,2,27.7,43.9,0.388,0.004611180358984286,0.009179965178448657
2025-12-31,Beta Energy Inc,BETA,USD,Senior Unsecured,3,35.3,43.9,0.388,0.005876031841288524,0.01747362962626975
2025-12-31,Beta Energy Inc,BETA,USD,Senior Unsecured,4,40.4,43.9,0.388,0.006734294334614178,0.02657760741101134
2025-12-31,Beta Energy Inc,BETA,USD,Senior Unsecured,5,43.9,43.9,0.388,0.007316666666666667,0.03592224926382248
2025-12-31,Gamma Tech Ltd,GAMMA,USD,Senior Unsecured,1,16.2,43.3,0.387,0.0027054462373889586,0.0027017898158777642
2025-12-31,Gamma Tech Ltd,GAMMA,USD,Senior Unsecured,2,27.3,43.3,0.387,0.004543425729780777,0.009045690792809369
2025-12-31,Gamma Tech Ltd,GAMMA,USD,Senior Unsecured,3,34.8,43.3,0.387,0.005792080597789973,0.017226145530992554
2025-12-31,Gamma Tech Ltd,GAMMA,USD,Senior Unsecured,4,39.8,43.3,0.387,0.006640370247297491,0.02621182746502848
2025-12-31,Gamma Tech Ltd,GAMMA,USD,Senior Unsecured,5,43.3,43.3,0.387,0.007216666666666666,0.035440089858648105
2025-12-31,Delta Industrial Co,DELTA,USD,Senior Unsecured,1,17.3,45.8,0.392,0.0028798596311057348,0.0028757168132238498
2025-12-31,Delta Industrial Co,DELTA,USD,Senior Unsecured,2,29.0,45.8,0.392,0.004826571160368556,0.009606700299685245
2025-12-31,Delta Industrial Co,DELTA,USD,Senior Unsecured,3,36.9,45.8,0.392,0.006142498415027744,0.018258747079688664
2025-12-31,Delta Industrial Co,DELTA,USD,Senior Unsecured,4,42.2,45.8,0.392,0.007032031616801411,0.027736213903729934
2025-12-31,Delta Industrial Co,DELTA,USD,Senior Unsecured,5,45.8,45.8,0.392,0.007633333333333333,0.037447497895345405
2025-12-31,Epsilon Telecom,EPSILON,USD,Senior Unsecured,1,24.1,61.4,0.423,0.004012931980324118,0.00400489092844547
2025-12-31,Epsilon Telecom,EPSILON,USD,Senior Unsecured,2,39.9,61.4,0.423,0.006642243786544009,0.01319663820957695
2025-12-31,Epsilon Telecom,EPSILON,USD,Senior Unsecured,3,50.2,61.4,0.423,0.008364994286234493,0.024782721295875
2025-12-31,Epsilon Telecom,EPSILON,USD,Senior Unsecured,4,57.0,61.4,0.423,0.009493757058745169,0.037263018167288386
2025-12-31,Epsilon Telecom,EPSILON,USD,Senior Unsecured,5,61.4,61.4,0.423,0.010233333333333334,0.04987969604841347
